Nome,Status,Endereco,Instagram,Onde Vi,Existe,Similar,Obs,Fone,Whatsapp,Site,Tags,Descricao,Bio do Instagram,Logo,Imagens,Capa
Gesiva - Funilaria e Pintura,Novo,"Rua Paracatu, 38 - Centro",https://www.instagram.com/gesivaunai/,INSTAGRAM,Não,,,,,,,,,,,
Torneadora Aliança,Novo,"Rua Maria Helena da Costa, 3860 - Mansões Sul",https://www.instagram.com/torneadoraaliancaunai/,INSTAGRAM,Não,,,,,,,,,,,
Carteira na Mão,Novo,"Avenida Governador Valadares, 2257 - Divinéia",https://www.instagram.com/grupocarteiranamao/,INSTAGRAM,Não,,,,,,,,,,,
MM Planejados Unaí,Novo,"Avenida Cabo Verde, 940 - Água Branca II",https://www.instagram.com/mmplanejadosunai/,INSTAGRAM,Não,,,,,,,,,,,
Vincitta Incorporações ,Novo,"Avenida Tancredo Neves, 2035 - Nossa Sra. do Carmo",https://www.instagram.com/vincitaincorporacoes/,INSTAGRAM,Não,,,,,,,,,,,
Jantinha da Nanda,Novo,"Rua das Hortências, 18 - Cruzeiro",https://www.instagram.com/jantinha_da_nanda/,INSTAGRAM,Não,,,,,,,,,,,
Sidney Max Ortopedista,Novo,"Rua Nossa Senhora do Carmo, 110 - Centro",https://www.instagram.com/dr.sidneymax/,INSTAGRAM,Não,,,,,,,,,,,
Universe Store,Novo,"Rua Buritís, 445 - Centro",https://www.instagram.com/universestore.unai/,INSTAGRAM,Não,,,,,,,,,,,
Cecílio Sementes,Novo,"Rua Gerson Rodrigues Gondim, 605",https://www.instagram.com/ceciliosementes/,INSTAGRAM,Não,,,,,,,,,,,
Guincho LA,Inauguração,Rua Quilombo - Politécnica,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.instagram.com/guincho.l.a/%3Fhl%3Dzh-cn&ved=2ahUKEwizvL-8v5OTAxXVJLkGHQmNLxIQFnoECBgQAQ&usg=AOvVaw3v16jzFyPL0cT5bw-WZfxE,INSTAGRAM,Não,,,,,,,,,,,
David Silva Personal,Novo,,https://www.instagram.com/treinadordavidsilva/,INSTAGRAM,Não,,,,,,,,,,,
Bruno Nutrologo,Inauguração,"Rua Afonso Pena, 500 - Centro",https://www.instagram.com/brunonutrologo/,INSTAGRAM,Não,,,,,,,,,,,
Unaí Veículos,Publi,"Rua São José, 509 - Centro",https://www.instagram.com/unaiveiculos/,INSTAGRAM,Sim,Similar,,,,,,,,,,
kumon Unai,Novo,"Rua Celina Lisboa Frederico, 111 - Centro",https://www.instagram.com/kumonunai/,INSTAGRAM,Não,,,,,,,,,,,
Delícia Sorvetes e Crepes,Publi,"Rua Calixto Martins de Melo, 126 - Centro",https://www.instagram.com/deliciasorvetesecrepes/,INSTAGRAM,Não,Similar,,,,,,,,,,
Império Cell,Novo,"Avenida Governador Valadares, 992 - Centro",https://www.instagram.com/imperio_cell14/,INSTAGRAM,Não,,,,,,,,,,,
Deka Bar,Novo,"Avenida Moema, 283 - Kamayura",https://www.instagram.com/deckunai_/,INSTAGRAM,Não,,,,,,,,,,,
Miller Bikes Unai,Novo,"Rua Djalma Tôrres, 1359 - Cachoeira",https://www.instagram.com/miller_bikes/,INSTAGRAM,Não,,,,,,,,,,,
Rural Farm,Novo,"Rua Arlíndo Gomes Branquinho, 105 - Capim Branco III",https://www.instagram.com/ruralfarmunai/,INSTAGRAM,Não,,,,,,,,,,,
Vidro Minas,Novo,"Rua Antônio Brochado, 624 - Nossa Sra. da Aparecida",https://www.instagram.com/vidro_minasunai/,INSTAGRAM,Não,,,,,,,,,,,
Sandra Interiores,Novo,"Rua Professor Olímpio Gonzaga, 384 - Centro",https://www.instagram.com/sandrainterioresunai/,INSTAGRAM,Não,,,,,,,,,,,
Dra. Barbara Ataíde ,Novo,"Rua Cachoeira, 328 - Cachoeira",https://www.instagram.com/dra.barbaraataide/,INSTAGRAM,Não,,,,,,,,,,,
Genesis Jóias e Relogios,Novo,"Rua Djalma Tôrres, 319 - Centro",https://www.instagram.com/genesis_joiaserelogios/,INSTAGRAM,Não,,,,,,,,,,,
Kanoa Bar Grill,Novo,"Rua das Magnólias, 48 - Cruzeiro",https://www.instagram.com/kanoabargrill/,INSTAGRAM,Não,,,,,,,,,,,
Dra Cristiane Ferreira,Novo,"Rua Prefeito João Costa, 1075 - Centro",https://www.instagram.com/dracristianeferreira/,INSTAGRAM,Não,,,,,,,,,,,
LP Informática ,Novo,"Rua Professor Olímpio Gonzaga, 411 - Centro",https://www.instagram.com/iplinformaticaunai/,INSTAGRAM,Não,,,,,,,,,,,
Barbauêh,Novo,"Avenida Governador Valadares, 670 - Centro",https://www.instagram.com/barbauehunai/,INSTAGRAM,Não,,,,,,,,,,,
Camargos Advocacia,Publi,"Rua Prefeito João Costa, 1390 - Barroca",https://www.instagram.com/camargos_advocacia/,INSTAGRAM,Sim,Similar,,,,,,,,,,
Unimed Patos de Minas,Inauguração,"Rua Aldeia, 234 - Centro",https://www.instagram.com/unimedpatosdeminas/,INSTAGRAM,Não,,,,,,,,,,,
Magras Unaí,Novo,"Rua Nossa Senhora do Carmo, 151 - Centro",https://www.instagram.com/magrassunai/,INSTAGRAM,Não,,,,,,,,,,,
Espaço K,Novo,"Rua Eli Pinto de Carvalho, 177 - Cruzeiro",https://www.instagram.com/oespacok/,INSTAGRAM,Não,,,,,,,,,,,
